,SUBST,PRON,VERB,ADJ,ART,PREP,UNC,ADV,CONJ,INTERJ
useless,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
museums,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twentieth,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
controversy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anthropologist,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admire,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demonstrated,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thoroughly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wholly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
destroyed,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0
confined,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
essence,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emphasise,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
determine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enemy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deliver,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favoured,0.0,0.0,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0
irony,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interpretations,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sadly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
insight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
themes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medieval,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tender,0.05,0.0,0.05,0.9,0.0,0.0,0.0,0.0,0.0,0.0
frank,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
reproduction,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
touches,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explicit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
examined,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0
virtue,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
summary,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musical,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
adventure,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enhance,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sufficiently,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
extend,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indicates,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surfaces,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assumption,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
finishing,0.05,0.0,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0
breaking,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
displays,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verbal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
psychological,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
concerns,0.55,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joints,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
womb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manufacturer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pressed,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0
request,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweat,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foods,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroke,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confusion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avoiding,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
=,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
electrical,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bath,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0
cricket,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jen,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
wondering,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prig,0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bore,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aloud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
slipped,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hated,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0
stalls,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
briefly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bowls,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
economy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assembly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circular,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
vice,0.65,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0
moisture,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horror,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
judges,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gouges,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spray,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
budget,0.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fibres,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
restoration,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charts,0.85,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defeat,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
managers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squads,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swear,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sons,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dare,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cotton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegetable,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
mysterious,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
creature,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connors,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sixties,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stretched,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mclaggan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canopy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elbows,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consists,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reps,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jilly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shep,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neuropsychology,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
region,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hostel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marioc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lanka,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
football,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attendance,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trip,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urgent,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chris,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accommodation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
booklet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appointment,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
developments,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
occurring,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
survival,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reasonably,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
choices,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wherever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
kent,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
priority,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partnership,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
princess,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lifestyle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traffic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full-time,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.10526315789473684,0.0,0.0
organised,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
devoted,0.0,0.0,0.2631578947368421,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0
prominent,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
imaginative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
impressive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,0.8421052631578947,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biography,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arranging,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appreciation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connections,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suggestions,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evaluation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masters,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strips,0.7894736842105263,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
profound,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lecturer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nowadays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
joan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
privileged,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
interviews,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
welcomed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casual,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
characteristic,0.5263157894736842,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0
pencil,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
russian,0.10526315789473684,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0
alternatively,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
commentary,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rank,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gentlemen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distinguished,0.0,0.0,0.5263157894736842,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0
competitor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expense,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
achievement,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failing,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
capture,0.5263157894736842,0.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flung,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forehead,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seldom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
japanese,0.05263157894736842,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0
ample,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
separated,0.0,0.0,0.8421052631578947,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0
absent,0.0,0.0,0.15789473684210525,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0
satisfactory,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lively,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
recipe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charm,0.8421052631578947,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient,0.5789473684210527,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0
universal,0.05263157894736842,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0
palace,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succeeded,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accompanied,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uncle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contribute,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teddy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guaranteed,0.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0
substance,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alexander,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ending,0.3157894736842105,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sociology,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
secondly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
make-up,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
switch,0.3157894736842105,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abilities,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pill,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disorder,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advisable,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
couples,0.9473684210526315,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
issued,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
babies,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terrace,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cigarettes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bored,0.0,0.0,0.05263157894736842,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0
attract,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suspicious,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporary,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bother,0.2631578947368421,0.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spirits,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regulations,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
lighter,0.21052631578947367,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0
wednesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shorts,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stable,0.10526315789473684,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0
beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
furious,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sticky,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
trevor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leather,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bodily,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
reminded,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leicester,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millions,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
carved,0.0,0.0,0.7368421052631579,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
hungry,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
threw,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
magic,0.3684210526315789,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0
shouting,0.05263157894736842,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snapped,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rage,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brass,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seized,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strip,0.7894736842105263,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cupboard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accused,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
witness,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replace,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
loyalty,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heels,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wisdom,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beloved,0.47368421052631576,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
urban,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
notebook,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defeated,0.0,0.0,0.8421052631578947,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0
amateur,0.2631578947368421,0.0,0.0,0.7368421052631579,0.0,0.0,0.0,0.0,0.0,0.0
employees,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diameter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consequences,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desperately,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
evenings,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
removal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delivered,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disaster,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
democracy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
researcher,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dilemma,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qualitative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
implementation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colleague,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambiguity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pursuit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
headed,0.0,0.0,0.8947368421052632,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
empirical,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protest,0.6842105263157895,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liable,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
eighteen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
destiny,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breweries,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ma,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
tap,0.8421052631578947,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shaw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awards,0.9473684210526315,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lightly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
weem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flemyng,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refereeing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
julia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructivism,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
libet,0.9473684210526315,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurophysiological,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
valera,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petals,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carla,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
